Date,MSFT,AAPL,AMZN,FB,BRK-B,GOOG,GOOGL,JPM,JNJ,XOM,V,BAC,INTC,PG,CSCO
2018-08-06,105.6894073486328,204.5416717529297,1847.75,185.69000244140625,206.05999755859372,1224.77001953125,1237.6700439453125,112.7842025756836,126.74335479736328,74.97413635253906,138.36247253417972,30.50014305114746,47.79919815063477,79.559326171875,41.82747268676758
2018-08-07,106.4224853515625,202.62413024902344,1862.47998046875,183.80999755859372,208.72000122070312,1242.219970703125,1255.8399658203125,113.1982879638672,126.20572662353516,75.99335479736328,138.92698669433594,30.490467071533203,48.18701934814453,79.67503356933594,42.09794998168945
2018-08-08,107.01872253417969,202.76112365722656,1886.52001953125,185.17999267578125,208.94000244140625,1245.6099853515625,1261.3299560546875,113.42940521240234,125.92732238769531,75.48841857910156,139.3231201171875,30.77108192443848,48.43910217285156,79.39542388916016,42.3491096496582
2018-08-09,107.19464874267578,204.35580444335938,1898.52001953125,183.08999633789062,209.1000061035156,1249.0999755859375,1264.4599609375,112.5530776977539,125.95613098144531,75.10504150390625,138.65957641601562,30.57755470275879,48.61362838745117,78.47952270507812,42.29114532470703
2018-08-10,106.5397720336914,203.7471008300781,1886.300048828125,180.25999450683597,206.6300048828125,1237.6099853515625,1252.510009765625,111.44566345214844,125.52411651611328,75.02945709228516,138.38226318359378,30.18082046508789,47.36288833618164,78.5084457397461,42.29114532470703
2018-08-13,105.76761627197266,205.0626678466797,1896.199951171875,180.0500030517578,205.1699981689453,1235.010009765625,1248.6400146484375,109.67376708984376,125.01529693603516,74.21699523925781,138.857666015625,29.493793487548828,46.975074768066406,78.59521484375,42.26217269897461
2018-08-14,107.08712768554688,205.9266662597656,1919.6500244140625,181.1100006103516,205.8300018310547,1242.0999755859375,1258.1400146484375,110.40564727783205,124.3240737915039,73.9808349609375,139.40235900878906,29.793764114379886,46.65512084960938,78.39274597167969,42.50366973876953
2018-08-15,105.63497924804688,206.40771484375,1882.6199951171875,179.52999877929688,204.5,1214.3800048828125,1232.219970703125,109.49081420898438,125.21690368652344,72.68656921386719,138.57044982910156,29.37767791748047,46.01520919799805,79.34722900390625,42.36842727661133
2018-08-16,105.61536407470705,209.43157958984372,1886.52001953125,174.6999969482422,207.55999755859372,1206.489990234375,1224.06005859375,110.5211944580078,127.1849594116211,73.6879653930664,139.50277709960938,29.72602653503418,45.73403549194336,80.6873550415039,43.62421798706055
2018-08-17,105.55648803710938,213.6138916015625,1882.219970703125,173.8000030517578,208.13999938964844,1200.9599609375,1215.8499755859375,110.5211944580078,129.09541320800778,73.93358612060547,140.17723083496094,29.745380401611328,45.66616439819336,80.6873550415039,44.31006622314453
2018-08-20,104.8598403930664,211.53256225585938,1876.7099609375,172.5,208.4600067138672,1207.77001953125,1221.949951171875,110.3767547607422,131.40910339355472,74.45317840576172,139.79042053222656,29.871177673339844,45.084434509277344,80.63914489746094,44.64817428588867
2018-08-21,103.98657989501952,211.1202087402344,1883.4200439453125,172.6199951171875,208.4900054931641,1201.6199951171875,1217.4100341796875,111.0508270263672,129.94026184082028,74.47208404541016,138.89775085449222,30.016321182250977,46.17033767700195,80.88981628417969,44.22313690185547
2018-08-22,105.04625701904295,211.13003540039062,1904.9000244140625,173.63999938964844,207.3300018310547,1207.3299560546875,1221.75,110.71379852294922,129.22982788085938,75.53961181640625,139.98878479003906,29.97761535644531,45.6176872253418,80.39811706542969,44.42599105834961
2018-08-23,105.53684997558594,211.56201171875,1902.9000244140625,172.89999389648438,207.2400054931641,1205.3800048828125,1221.1600341796875,110.4826889038086,129.70985412597656,74.708251953125,140.94094848632812,29.842145919799805,45.54981994628906,80.25349426269531,44.45497512817383
2018-08-24,106.3610610961914,212.2198028564453,1905.3900146484373,174.64999389648438,207.97999572753903,1220.6500244140625,1236.75,110.4345245361328,130.51628112792972,75.2184066772461,143.02381896972656,29.89052581787109,46.20912170410156,80.36919403076172,44.74477005004883
2018-08-27,107.53848266601562,213.96734619140625,1927.6800537109373,177.4600067138672,210.50999450683597,1241.8199462890625,1256.27001953125,112.3893814086914,130.39064025878906,75.95529174804688,144.21405029296875,30.296937942504886,46.87811660766602,80.44631958007812,45.005592346191406
2018-08-28,108.18606567382812,215.6952667236328,1932.8199462890625,176.25999450683594,210.7700042724609,1231.1500244140625,1245.8599853515625,111.8404769897461,129.81077575683594,75.8419189453125,144.0156707763672,30.25823402404785,47.0914192199707,80.4848861694336,45.35335159301758
2018-08-29,109.9129638671875,218.9154815673828,1998.0999755859373,175.89999389648438,211.2700042724609,1249.300048828125,1264.6500244140625,111.47454833984376,130.33265686035156,76.38986206054688,145.8307342529297,30.132436752319336,47.26593780517578,80.49452209472656,45.86532592773438
2018-08-30,109.8442840576172,220.9281005859375,2002.3800048828125,177.63999938964844,209.75,1239.1199951171875,1254.43994140625,110.9256591796875,130.41963195800778,76.0592041015625,145.54310607910156,30.00664520263672,46.77146911621094,80.41740417480469,45.546546936035156
2018-08-31,110.21713256835938,223.480712890625,2012.7099609375,175.72999572753906,208.72000122070312,1218.18994140625,1231.800048828125,110.3382339477539,130.16836547851562,75.73800659179688,145.69187927246094,29.92923355102539,46.95568084716797,79.97390747070312,46.14546203613281
2018-09-04,109.60879516601562,224.19741821289062,2039.510009765625,171.16000366210938,210.0500030517578,1197.0,1211.31005859375,110.88713836669922,129.23094177246094,75.85137176513672,146.59446716308594,30.132436752319336,46.49999237060547,79.73287963867188,46.10681915283203
