Date,High,Low,Open,Close,Volume,Adj Close
2019-08-05,100.94999694824219,99.12999725341797,99.9800033569336,99.68000030517578,967600,99.68000030517578
2019-08-06,100.30000305175781,98.61000061035156,100.12999725341797,99.83000183105469,614300,99.83000183105469
2019-08-07,98.91000366210938,97.52999877929688,98.66000366210938,98.33000183105469,637000,98.33000183105469
2019-08-08,99.56999969482422,98.2300033569336,98.76000213623047,99.1500015258789,874600,99.1500015258789
2019-08-09,99.11000061035156,97.66000366210938,98.87000274658203,98.7300033569336,811300,98.7300033569336
2019-08-12,98.47000122070312,96.5199966430664,98.30000305175781,97.0,611200,97.0
2019-08-13,98.20999908447266,96.30000305175781,96.61000061035156,97.45999908447266,962600,97.45999908447266
2019-08-14,97.06999969482422,93.7699966430664,96.95999908447266,94.08000183105469,770900,94.08000183105469
2019-08-15,94.9800033569336,93.48999786376953,94.30000305175781,94.72000122070312,747900,94.72000122070312
2019-08-16,95.94999694824219,94.87000274658203,95.29000091552734,95.43000030517578,2424600,95.43000030517578
2019-08-19,97.02999877929688,95.72000122070312,96.52999877929688,96.55000305175781,679800,96.55000305175781
2019-08-20,96.41000366210938,94.87999725341797,96.06999969482422,95.0,683900,95.0
2019-08-21,96.16999816894531,94.79000091552734,96.01000213623047,95.45999908447266,594700,95.45999908447266
2019-08-22,96.4000015258789,94.70999908447266,95.93000030517578,95.69000244140625,528900,95.69000244140625
2019-08-23,95.80999755859375,93.02999877929688,95.20999908447266,93.41999816894531,586000,93.41999816894531
2019-08-26,94.5,93.33999633789062,94.12000274658203,94.0199966430664,391600,94.0199966430664
2019-08-27,94.81999969482422,93.12000274658203,94.55999755859375,93.7699966430664,447600,93.7699966430664
2019-08-28,94.3499984741211,92.93000030517578,93.33000183105469,94.29000091552734,398600,94.29000091552734
2019-08-29,96.04000091552734,94.22000122070312,95.05999755859375,95.80000305175781,445300,95.80000305175781
2019-08-30,96.81999969482422,95.6500015258789,96.58999633789062,96.2699966430664,620900,96.2699966430664
2019-09-03,96.31999969482422,94.72000122070312,95.7300033569336,95.33000183105469,650300,95.33000183105469
2019-09-04,96.8499984741211,95.5999984741211,96.13999938964844,96.76000213623047,595300,96.76000213623047
2019-09-05,98.7300033569336,97.32499694824219,97.5999984741211,98.62000274658203,613533,98.62000274658203
